termID	en	fr
Buttons.HierarchyDontImgAlt	A UI using multiple primary buttons which makes it unclear to the user which action is most important.	Une interface utilisateur utilisant plusieurs boutons principaux ne permet pas à l’utilisateur de savoir quelle action est la plus importante.
Buttons.DestructiveHeading	Destructive actions	Les actions destructrices
Buttons.DestructiveDoText	Use the critical button or plain critical button for destructive actions.	L’utilisation du bouton critique ou du bouton simple critique pour les actions destructives.
Buttons.DestructiveDoImgAlt	A modal window with two options – “Cancel” and “Delete”. The delete button uses the red critical styling.	Une fenêtre modale avec deux options : annuler et supprimer. Le bouton de suppression est un bouton critique rouge.
Buttons.DestructiveDontText	Use other button types for destructive actions.	D’autres types de boutons doivent être utilisés pour les actions destructives.
Buttons.DestructiveDontImgAlt	A modal window with two options – “Cancel” and “Delete”. The delete button uses the dark blue primary styling which is incorrect.	Une fenêtre modale avec deux options : annuler et supprimer. Le bouton de suppression est un bouton principal bleu foncé, ce qui est incorrect.
Buttons.PlainDoText	Use plain buttons for allowing the user to perform an action or navigate in app.	Utiliser des boutons simples pour permettre à l’utilisateur d’effectuer une action ou de naviguer dans l’application.
Buttons.PlainDoImgAlt	A form UI with plain buttons used to navigate between steps in the form.	Une interface utilisateur de type formulaire avec des boutons simples utilisés pour naviguer entre les étapes du formulaire.
Buttons.PlainDontText	Use plain buttons to link the user to other pages or websites. Links should be used in this case.	Utiliser des boutons simples pour lier l’utilisateur à d’autres pages ou sites Web. Dans ce cas, il faut utiliser les liens.
Buttons.PlainDontImgAlt	A help center listed as a resource with a plain button used to link the user out to the help center website.	Un centre d’aide déterminé comme une ressource avec un bouton simple utilisé pour renvoyer l’utilisateur vers le site Web du centre d’aide.
Buttons.SpacingGroupsHeading	Spacing for button groups	Espacement des groupes de boutons
Buttons.SpacingGroupsText	A button group is a set of buttons that have a contextual relationship. To create consistency with how these actions are visually related, consistent spacing rules should be followed. Large button groups should have 16 pixels between buttons and small button groups should have 12 pixels between buttons.	Un groupe de boutons est un ensemble de boutons qui ont une relation contextuelle. Pour créer une cohérence dans la façon dont ces actions sont liées visuellement, des règles cohérentes d’espacement doivent être suivies. Pour les grands groupes de boutons, il doit y avoir un espacement de 16 pixels entre les boutons. Pour les petits groupes de boutons, il doit y avoir un espacement de 12 pixels entre les boutons.
Buttons.SpacingGroupsImgAlt	Specs displaying the correct spacing between buttons. Spacing is described in the paragraph below.	Spécifications indiquant l’espacement acceptable entre les boutons. L’espacement est décrit dans le paragraphe ci-dessous.
Buttons.MinMaxWidthHeading	Minimum and maximum widths	Largeurs minimales et maximales
Buttons.MinMaxWidthImgAlt	Specs displaying the minimum and maximum widths of the button component. Widths are described in the paragraph below.	Spécifications affichant les largeurs minimales et maximales des composantes des boutons. Ces largeurs sont décrites dans la section suivante:
Buttons.MinMaxWidthText	Large buttons have a maximum width of 400 pixels and a minimum width of 64 pixels. Small buttons have a maximum width of 400 pixels and a minimum width of 52 pixels.	Les boutons de grande taille ont une largeur maximale de 400 pixels et une largeur minimale de 64 pixels. Les petits boutons ont une largeur maximale de 400 pixels et une largeur minimale de 52 pixels.
Buttons.AnatomyHeading	Anatomy	Anatomie
Buttons.AnatomyImgAlt	The parts that makeup the button component. The parts are described in the content below.	Les parties qui constituent les composantes du bouton. Les parties sont décrites dans la section suivante:
Buttons.AnatomyBGHeading	Background	Fond
Buttons.AnatomyBGText	The background fill behind the button label and icon. The corner radius for both large and small button sizes is 4 pixels.	Le remplissage du fond derrière l’étiquette et l’icône du bouton. Le rayon des boutons de petite et de grande taille est de 4 pixels.
Buttons.AnatomyIconText	Icons are used to support the button label content. They are optional and can be either shown or hidden by using the icon configurations.	Les icônes sont utilisées pour soutenir le contenu de l’étiquette du bouton. Elles sont facultatives et elles peuvent être affichées ou masquées à l’aide des configurations d’icônes.
Buttons.AnatomyLblHeading	Label	Étiquette
Buttons.AnatomyLblText	The label provides context to the user about what action the button will perform.	L’étiquette fournit à l’utilisateur le contexte relatif à l’action que le bouton va effectuer.
Buttons.SpecsHeading	Specs	Spécifications
Buttons.SpecsImgAlt	Specs displaying the padding and layer measurements within the button component. Specs are described in the paragraph below.	Spécifications affichant les mesures quant au remplissage et aux couches des composantes du bouton.
Buttons.SpecsText	The small button with fluid layout has 8 pixels of vertical padding and 16 pixels of horizontal padding inside the button. The icon has a 20 pixel width and height. There is 8 pixels between the icon and label. The label width is dynamic based on number of characters. The large button with fluid layout has 12 pixels of vertical padding and 20 pixels of horizontal padding inside the button. The icon has a 24 pixel width and height. There is 8 pixels between the icon and label. The label width is dynamic based on number of characters. The small button with fixed layout has 8 pixels of vertical padding and fluid horizontal padding based on the fixed width of the button. The icon has a 20 pixel width and height. There is 8 pixels between the icon and label. The label width is dynamic based on number of characters. The large button with fixed layout has 12 pixels of vertical padding and fluid horizontal padding based on the fixed width of the button. The icon has a 24 pixel width and height. There is 8 pixels between the icon and label. The label width is dynamic based on number of characters.	le remplissage vertical du petit bouton avec une disposition fluide est de 8 pixels et le remplissage horizontal à l’intérieur du bouton est de 16 pixels. L’icône a une largeur et une hauteur de 20 pixels. Il y a 8 pixels entre l’icône et l’étiquette. La largeur de l’étiquette est dynamique selon le nombre de caractères qu’elle contient. Le remplissage vertical du grand bouton avec une disposition fluide est de 12 pixels et le remplissage horizontal à l’intérieur du bouton est de 20 pixels. L’icône a une largeur et une hauteur de 24 pixels. Il y a 8 pixels entre l’icône et l’étiquette. La largeur de l’étiquette est dynamique selon le nombre de caractères qu’elle contient. Le remplissage vertical du petit bouton avec une disposition fixe et le remplissage horizontal fluide basé sur la largeur fixe du bouton sont de 8 pixels. L’icône a une largeur et une hauteur de 20 pixels. Il y a 8 pixels entre l’icône et l’étiquette. La largeur de l’étiquette est dynamique selon le nombre de caractères qu’elle contient. Le remplissage vertical grand bouton avec une disposition fixe et le remplissage horizontal fluide basé sur la largeur fixe du bouton sont de 12 pixels. L’icône a une largeur et une hauteur de 24 pixels. Il y a 8 pixels entre l’icône et l’étiquette. La largeur de l’étiquette est dynamique selon le nombre de caractères qu’elle contient.
Buttons.ContentGuidelinesHeading	Content guidelines	Directives sur le contenu
Buttons.CaseHeading	Label capitalization	Utilisation de la majuscule sur les étiquettes
Buttons.CaseDoImgAlt	A button that has the label “Save changes” written in sentence case.	Utilisation de minuscules sur un bouton indiquant « Enregistrer les modifications ».
Buttons.CaseDoText	Write button labels in sentence case	Utiliser des minuscules pour les étiquettes de boutons
Buttons.CaseDontImgAlt	A button that has the label “Save changes” written in title case.	Utilisation de la majuscule pour la première lettre du bouton indiquant « Enregistrer les modifications ».
Buttons.CaseDontText	Write button labels in title case	Utiliser des majuscules pour la première lettre sur les étiquettes de boutons
Buttons.DescriptiveHeading	Task-focused labels	Étiquettes axées sur les tâches
Buttons.DescriptiveDoImgAlt	A button that has the label “View my documents”.	Un bouton dont l’étiquette indique « Afficher mes documents ».
Buttons.DescriptiveDoText	Write button labels to match the action the button will perform	Rédiger des descriptions d’étiquettes de bouton correspondant à l’action que le bouton va effectuer.
Buttons.DescriptiveDontText	Write button labels that are static and don't describe an action.	Rédiger des descriptions d’étiquettes de bouton qui sont statiques et qui ne décrivent pas une action.
Buttons.DescriptiveDontImgAlt	A button that has the label “Documents”.	Un bouton dont l’étiquette indique « Documents ».
Buttons.FigmaHeading	Usage in Figma	Utilisation dans Figma
Buttons.FigmaDirectionsHeading	Directions for use	Mode d’emploi
Buttons.FigmaDirectionsListItem1	From the “Assets” panel, drag in the <strong>“button”</strong> component from the Components library.	Dans le panneau des ressources, faire glisser le composant « bouton » à partir de la bibliothèque des composants.
Buttons.FigmaDirectionsListItem2	In the right panel, configure the properties and variants to meet your needs. 	Dans le panneau de droite, configurer les propriétés et les variantes en fonction de vos besoins.
Buttons.FigmaDirectionsListItem3	Never override colours, radius, padding, text size, etc. This way foundational elements are kept consistent.	Ne jamais modifier les couleurs, le rayon, le remplissage, la taille du texte, etc. De cette façon, les éléments fondamentaux restent cohérents.
Buttons.FigmaDirectionsListItem4	If an icon is used, designers can <a class='link' target='_blank' href='https://www.loom.com/share/b0d137f991034f08b504c93278384c2f'>change the Font Awesome keyword</a> to update the icon in the button to any Font Awesome icon.	Si une icône est utilisée, les concepteurs peuvent <a class='link' target='_blank' href='https://www.loom.com/share/b0d137f991034f08b504c93278384c2f'>modifier</a> le mot-clé de Font Awesome afin de mettre à jour l’icône du bouton pour n’importe quelle icône de Font Awesome.
Buttons.FigmaDirectionsImgAlt	A screenshot of the design panel from Figma. The design panel displays the configuration options designers can choose from when customizing a button.	Une capture d’écran du panneau de conception de Figma. Le panneau de conception affiche les options de configuration parmi lesquelles les concepteurs peuvent choisir lorsqu’ils personnalisent un bouton.
Buttons.AccessibilityHeading	Accessibility	Accessibilité
Buttons.AccessibilityColourHeading	Colour contrast	Contraste des couleurs
Buttons.AccessibilityColourText	Primary buttons have a colour contrast ratio of 8.88:1 and passes AAA accessibility standards under WCAG 2.1.	Les boutons principaux ont un rapport de contraste des couleurs de 8,88 : 1 et répondent aux normes d’accessibilité AAA selon la version 2.1 des normes WCAG.
Buttons.AccessibilityKeyboardHeading	Keyboard accessible	Clavier accessible
Buttons.AccessibilityKeyboardText	Buttons are developed using the native HTML button element to ensure interactive elements are keyboard accessible and pass WCAG 2.1 AA conformity.	Les boutons sont élaborés à l’aide de l’élément bouton HTML original afin de garantir que les éléments interactifs sont accessibles sur le clavier et conformes aux normes AA de la version 2.1 des normes WCAG.
Utilities.title.tokens	Tokens	[FR] Tokens
Utilities.sub-titles.pixels	pixels	pixels
Utilities.content.figma-usage	Use {{px}} pixels of spacing	Utiliser {{px}} pixels d’espacement
Utilities.content.bp-figma-usage	Set frame width to {{px}} pixels	Définir la largeur du cadre à {{px}} pixels
Utilities.Heading	Utilities	Utilitaires
Utilities.Text	Utilities are re-usable tokens, variables, etc. that are applied consistently to elements and components throughout the entire design system. This creates consistency in how the design system’s foundations are applied and allows efficient and reliable design iterations to be made globally.	[FR] Utilities are re-usable tokens, variables, etc. that are applied consistently to elements and components throughout the entire design system. This creates consistency in how the design system’s foundations are applied and allows efficient and reliable design iterations to be made globally.
Utilities.TypographyHeading	Typography	Typographie
Utilities.TypographyText	The type scale keeps the number of styles to a minimum and is designed to ensure an affective visual hierarchy of content globally. Text styles include point sizes, line heights and paragraph spacing that pass AAA accessibility standards under WCAG 2.1.	L’échelle de caractères réduit le nombre de styles au minimum et elle est conçue pour assurer une hiérarchie visuelle efficace du contenu dans son ensemble. Les styles de texte comprennent des tailles de points, des hauteurs de lignes et des espacements de paragraphes qui répondent aux normes d’accessibilité AAA de la version 2.1 des normes WCAG.
Utilities.SpacingText	Spacing units to apply as padding or margins throughout the UI. Spacing options are limited to help create consistency across spacing decisions. All spacing units are a multiple of four to adhere to a four pixel grid.	Unités d’espacement à appliquer comme remplissage ou comme marges dans l’interface utilisateur. Les options d’espacement sont limitées pour aider à créer une cohérence entre les espacements. Toutes les unités d’espacement sont en groupe de quatre pour respecter une grille de quatre pixels.
Utilities.SpacingTableSampleHeading	Sample	Échantillon
Utilities.SpacingTableVariableHeading	Variable name	Nom de la variable
Utilities.SpacingTableValueHeading	Value	Valeur
Utilities.SpacingTableFigmaHeading	Figma usage	Utilisation de Figma
Utilities.BreakpointsHeading	Breakpoints	Points d’arrêt
Utilities.BreakpointsText	Setting breakpoints allows content and design to adapt in order to provide the best possible layout for the viewport or device. Use these common breakpoint widths for layout consistency. Design system consumers can add additional breakpoints as needed.	Définir des points d’arrêt permet au contenu et à la conception de s’adapter afin de fournir la meilleure disposition possible pour la fenêtre d’affichage ou le périphérique. Utiliser les largeurs fréquentes des points d’arrêt pour assurer la cohérence de la mise en page. Les consommateurs du système de conception peuvent ajouter des points d’arrêt supplémentaires si nécessaire.
Utilities.BreakpointsTableWidthHeading	Width	Largeur
Utilities.ColourHeading	Colours	Couleurs
Utilities.ColourText	Designers have a variety of colours to choose from to ensure clear communication, indicate UI functionality, and provide colour contrast that complies with accessibility standards. The colour system is designed to define meaning for each colour, allow for global colour changes, and ensure every colour used comes from the system.	Les concepteurs ont le choix entre plusieurs couleurs pour assurer une communication claire, indiquer la fonctionnalité de l’interface utilisateur et fournir un contraste de couleurs conforme aux normes d’accessibilité. Le système de couleurs est conçu pour définir la signification de chaque couleur, permettre des changements de couleur globaux et garantir que chaque couleur utilisée provient du système.
Utilities.SpacingHeading	Spacing	Espacement
Utilities.ColourTableTokenHeading	Token name	Nom du jeton
Utilities.ColourTableColourHeading	Colour role, hue & hex value	Rôle de la couleur, teinte et valeur hexadécimale
Utilities.ColourTableFigmaHeading	Figma colour style	Style de couleur Figma
Utilities.ColourTableDescriptionHeading	Description	[FR] Description
Utilities.ColourTableDescriptionRow1	Background of the primary button.	[FR] Background of the primary button.
Utilities.ColourTableDescriptionRow2	Background of the primary button while in the hover state.	[FR] Background of the primary button while in the hover state.
Utilities.ColourTableDescriptionRow3	Background of the primary button while in the active state.	[FR] Background of the primary button while in the active state.
Utilities.ColourTableDescriptionRow4	Background of the primary button while in the disabled state.	[FR] Background of the primary button while in the disabled state.
Utilities.ColourTableDescriptionRow5	Text and icon within the primary button.	[FR] Text and icon within the primary button.
Utilities.ColourTableDescriptionRow6	Text and icon within the disabled state of the primary button.	[FR] Text and icon within the disabled state of the primary button.
Utilities.ColourTableDescriptionRow7	Background of the primary button using the Critical colour role.	[FR] Background of the primary button using the Critical colour role.
Utilities.ColourTableDescriptionRow8	Background of the primary button using the Critical colour role while in the hover state.	[FR] Background of the primary button using the Critical colour role while in the hover state.
Utilities.ColourTableDescriptionRow9	Background of the primary button using the Critical colour role while in the active state.	[FR] Background of the primary button using the Critical colour role while in the active state.
Utilities.ColourTableDescriptionRow10	Background of the primary button using the Critical colour role while in the disabled state.	[FR] Background of the primary button using the Critical colour role while in the disabled state.
Utilities.ColourTableDescriptionRow11	Text and icon within the primary button using the Critical colour role.	[FR] Text and icon within the primary button using the Critical colour role.
Utilities.ColourTableDescriptionRow12	Text and icon within the disabled state of the primary button using the Critical colour role.	[FR] Text and icon within the disabled state of the primary button using the Critical colour role.
Utilities.ColourTableDescriptionRow13	Border of the secondary button.	[FR] Border of the secondary button.
Utilities.ColourTableDescriptionRow14	Border of the secondary button while in the hover state.	[FR] Border of the secondary button while in the hover state.
Utilities.ColourTableDescriptionRow15	Border of the secondary button while in the active state.	[FR] Border of the secondary button while in the active state.
Utilities.ColourTableDescriptionRow16	Border of the secondary button while in the disabled state.	[FR] Border of the secondary button while in the disabled state.
Utilities.ColourTableDescriptionRow17	Text and icon within the secondary button.	[FR] Text and icon within the secondary button.
Utilities.ColourTableDescriptionRow18	Text and icon within the disabled state of the secondary button.	[FR] Text and icon within the disabled state of the secondary button.
Utilities.ColourTableDescriptionRow19	Border of the secondary button using the Critical colour role.	[FR] Border of the secondary button using the Critical colour role.
Utilities.ColourTableDescriptionRow20	Border of the secondary button using the Critical colour role while in the hover state.	[FR] Border of the secondary button using the Critical colour role while in the hover state.
Utilities.ColourTableDescriptionRow21	Border of the secondary button using the Critical colour role while in the active state.	[FR] Border of the secondary button using the Critical colour role while in the active state.
Utilities.ColourTableDescriptionRow22	Border of the secondary button using the Critical colour role while in the disabled state.	[FR] Border of the secondary button using the Critical colour role while in the disabled state.
Utilities.ColourTableDescriptionRow23	Text and icon within the secondary button using the Critical colour role.	[FR] Text and icon within the secondary button using the Critical colour role.
Utilities.ColourTableDescriptionRow24	Text and icon within the disabled state of the secondary button using the Critical colour role.	[FR] Text and icon within the disabled state of the secondary button using the Critical colour role.
Utilities.ColourTableDescriptionRow25	Text colour of links in the default state.	[FR] Text colour of links in the default state.
Utilities.ColourTableDescriptionRow26	Text colour of links in the hover state.	[FR] Text colour of links in the hover state.
Utilities.ColourTableDescriptionRow27	Text colour of links in the active state.	[FR] Text colour of links in the active state.
Utilities.ColourTableDescriptionRow28	Text colour of links after they have been visited.	[FR] Text colour of links after they have been visited.
Utilities.ColourTableDescriptionRow29	Background of alert banners with the warning sentiment.	[FR] Background of alert banners with the warning sentiment.
Utilities.ColourTableDescriptionRow30	Border of alert banners with the warning sentiment.	[FR] Border of alert banners with the warning sentiment.
Utilities.ColourTableDescriptionRow31	Icon in alert banners with the warning sentiment.	[FR] Icon in alert banners with the warning sentiment.
Utilities.ColourTableDescriptionRow32	Background of alert banners with the critical sentiment.	[FR] Background of alert banners with the critical sentiment.
Utilities.ColourTableDescriptionRow33	Border of alert banners with the critical sentiment.	[FR] Border of alert banners with the critical sentiment.
Utilities.ColourTableDescriptionRow34	Icon in alert banners with the critical sentiment.	[FR] Icon in alert banners with the critical sentiment.
Utilities.ColourTableDescriptionRow35	Background of alert banners with the success sentiment.	[FR] Background of alert banners with the success sentiment.
Utilities.ColourTableDescriptionRow36	Border of alert banners with the success sentiment.	[FR] Border of alert banners with the success sentiment.
Utilities.ColourTableDescriptionRow37	Icon in alert banners with the success sentiment.	[FR] Icon in alert banners with the success sentiment.
Utilities.ColourTableDescriptionRow38	Background of alert banners with the information sentiment.	[FR] Background of alert banners with the information sentiment.
Utilities.ColourTableDescriptionRow39	Border of alert banners with the information sentiment.	[FR] Border of alert banners with the information sentiment.
Utilities.ColourTableDescriptionRow40	Icon in alert banners with the information sentiment.	[FR] Icon in alert banners with the information sentiment.
Utilities.ColourTableDescriptionRow41	Background of selected form elements while displaying an error.	[FR] Background of selected form elements while displaying an error.
Utilities.ColourTableDescriptionRow42	Background of selected form elements while displaying an error and in the hover state.	[FR] Background of selected form elements while displaying an error and in the hover state.
Utilities.ColourTableDescriptionRow43	Background of selected form elements while displaying an error and in the active state.	[FR] Background of selected form elements while displaying an error and in the active state.
Utilities.ColourTableDescriptionRow44	Background of selected form elements while displaying an error and in the disabled state.	[FR] Background of selected form elements while displaying an error and in the disabled state.
Utilities.ColourTableDescriptionRow45	Background of unselected form elements while displaying an error.	[FR] Background of unselected form elements while displaying an error.
Utilities.ColourTableDescriptionRow46	Background of unselected form elements while displaying an error and in the hover state.	[FR] Background of unselected form elements while displaying an error and in the hover state.
Utilities.ColourTableDescriptionRow47	Background of unselected form elements while displaying an error and in the active state.	[FR] Background of unselected form elements while displaying an error and in the active state.
Utilities.ColourTableDescriptionRow48	Background of unselected form elements while displaying an error and in the disabled state.	[FR] Background of unselected form elements while displaying an error and in the disabled state.
Utilities.ColourTableDescriptionRow49	Border of unselected form elements while displaying an error.	[FR] Border of unselected form elements while displaying an error.
Utilities.ColourTableDescriptionRow50	Border of unselected form elements while displaying an error and in a hover state.	[FR] Border of unselected form elements while displaying an error and in a hover state.
Utilities.ColourTableDescriptionRow51	Border of unselected form elements while displaying an error and in a disabled state.	[FR] Border of unselected form elements while displaying an error and in a disabled state.
Utilities.ColourTableDescriptionRow52	Text used for error messages.	[FR] Text used for error messages.
Utilities.ColourTableDescriptionRow53	Background of selected form elements while displaying success.	[FR] Background of selected form elements while displaying success.
Utilities.ColourTableDescriptionRow54	Background of selected form elements while displaying success and in the hover state.	[FR] Background of selected form elements while displaying success and in the hover state.
Utilities.ColourTableDescriptionRow55	Background of selected form elements while displaying success and in the active state.	[FR] Background of selected form elements while displaying success and in the active state.
Utilities.ColourTableDescriptionRow56	Background of selected form elements while displaying success and in the disabled state.	[FR] Background of selected form elements while displaying success and in the disabled state.
Utilities.ColourTableDescriptionRow57	Background of unselected form elements while displaying success.	[FR] Background of unselected form elements while displaying success.
Utilities.ColourTableDescriptionRow58	Background of unselected form elements while displaying success and in the hover state.	[FR] Background of unselected form elements while displaying success and in the hover state.
Utilities.ColourTableDescriptionRow59	Background of unselected form elements while displaying success and in the active state.	[FR] Background of unselected form elements while displaying success and in the active state.
Utilities.ColourTableDescriptionRow60	Background of unselected form elements while displaying success and in the disabled state.	[FR] Background of unselected form elements while displaying success and in the disabled state.
Utilities.ColourTableDescriptionRow61	Border of unselected form elements while displaying success.	[FR] Border of unselected form elements while displaying success.
Utilities.ColourTableDescriptionRow62	Border of unselected form elements while displaying success and in a hover state.	[FR] Border of unselected form elements while displaying success and in a hover state.
Utilities.ColourTableDescriptionRow63	Border of unselected form elements while displaying success and in a disabled state.	[FR] Border of unselected form elements while displaying success and in a disabled state.
Utilities.ColourTableDescriptionRow64	Text used for success messages.	[FR] Text used for success messages.
Utilities.ColourTableDescriptionRow65	Background of selected form elements while displaying warning.	[FR] Background of selected form elements while displaying warning.
Utilities.ColourTableDescriptionRow66	Background of selected form elements while displaying warning and in the hover state.	[FR] Background of selected form elements while displaying warning and in the hover state.
Utilities.ColourTableDescriptionRow67	Background of selected form elements while displaying warning and in the active state.	[FR] Background of selected form elements while displaying warning and in the active state.
Utilities.ColourTableDescriptionRow68	Background of selected form elements while displaying warning and in the disabled state.	[FR] Background of selected form elements while displaying warning and in the disabled state.
Utilities.ColourTableDescriptionRow69	Background of unselected form elements while displaying warning.	[FR] Background of unselected form elements while displaying warning.
Utilities.ColourTableDescriptionRow70	Background of unselected form elements while displaying warning and in the hover state.	[FR] Background of unselected form elements while displaying warning and in the hover state.
Utilities.ColourTableDescriptionRow71	Background of unselected form elements while displaying warning and in the active state.	[FR] Background of unselected form elements while displaying warning and in the active state.
Utilities.ColourTableDescriptionRow72	Background of unselected form elements while displaying warning and in the disabled state.	[FR] Background of unselected form elements while displaying warning and in the disabled state.
Utilities.ColourTableDescriptionRow73	Border of unselected form elements while displaying warning.	[FR] Border of unselected form elements while displaying warning.
Utilities.ColourTableDescriptionRow74	Border of unselected form elements while displaying warning and in a hover state.	[FR] Border of unselected form elements while displaying warning and in a hover state.
Utilities.ColourTableDescriptionRow75	Border of unselected form elements while displaying warning and in a disabled state.	[FR] Border of unselected form elements while displaying warning and in a disabled state.
Utilities.ColourTableDescriptionRow76	Text used for warning messages.	[FR] Text used for warning messages.
Utilities.ColourTableDescriptionRow77	Background of selected form elements while displaying information.	[FR] Background of selected form elements while displaying information.
Utilities.ColourTableDescriptionRow78	Background of selected form elements while displaying information and in the hover state.	[FR] Background of selected form elements while displaying information and in the hover state.
Utilities.ColourTableDescriptionRow79	Background of selected form elements while displaying information and in the active state.	[FR] Background of selected form elements while displaying information and in the active state.
Utilities.ColourTableDescriptionRow80	Background of selected form elements while displaying information and in the disabled state.	[FR] Background of selected form elements while displaying information and in the disabled state.
Utilities.ColourTableDescriptionRow81	Background of unselected form elements while displaying information.	[FR] Background of unselected form elements while displaying information.
Utilities.ColourTableDescriptionRow82	Background of unselected form elements while displaying information and in the hover state.	[FR] Background of unselected form elements while displaying information and in the hover state.
Utilities.ColourTableDescriptionRow83	Background of unselected form elements while displaying information and in the active state.	[FR] Background of unselected form elements while displaying information and in the active state.
Utilities.ColourTableDescriptionRow84	Background of unselected form elements while displaying information and in the disabled state.	[FR] Background of unselected form elements while displaying information and in the disabled state.
Utilities.ColourTableDescriptionRow85	Border of unselected form elements while displaying information.	[FR] Border of unselected form elements while displaying information.
